STATE/UT,GDP2001,GDP2002,GDP2003,GDP2004,GDP2005,GDP2006,GDP2007,GDP2008,GDP2009,GDP2010,GDP2011
ANDHRA PRADESH,156711.00,167096.00,190017.00,224713.00,255941.00,301035.00,364813.00,426765.00,476835.00,583762.00,379402.00
ARUNACHAL PRADESH,2104.00,2071.00,2368.00,3488.00,3755.00,4108.00,4810.00,5687.00,7474.00,9013.00,11063.00
ASSAM,38313.00,43407.00,47305.00,53398.00,59385.00,64692.00,71076.00,81074.00,95975.00,112688.00,143175.00
BIHAR,57657.00,64965.00,66174.00,77781.00,82490.00,100737.00,113680.00,142279.00,162923.00,204289.00,247144.00
CHHATTISGARH,29539.00,32493.00,38802.00,47862.00,53381.00,66875.00,80255.00,96972.00,99364.00,119420.00,158074.00
GOA,7097.00,8100.00,9301.00,12713.00,14327.00,16523.00,19565.00,25414.00,29126.00,33605.00,42367.00
GUJARAT,123573.00,141534.00,168080.00,203373.00,244736.00,283693.00,329285.00,367912.00,431262.00,521519.00,615606.00
HARYANA,65505.00,72528.00,82862.00,95795.00,108885.00,128732.00,151596.00,182522.00,223600.00,260621.00,297539.00
HIMACHAL PRADESH,17148.00,18905.00,20721.00,24077.00,27127.00,30274.00,33963.00,41483.00,48189.00,57452.00,72720.00
JAMMU & KASHMIR,18039.00,20326.00,22194.00,27305.00,29920.00,33230.00,37099.00,42315.00,48385.00,58073.00,78254.00
JHARKHAND,35069.00,37967.00,42449.00,59758.00,60901.00,66935.00,83950.00,87794.00,100621.00,127281.00,150918.00
KARNATAKA,112847.00,120889.00,130990.00,166747.00,195904.00,227237.00,270629.00,310312.00,337559.00,410703.00,606010.00
KERALA,77924.00,86895.00,96698.00,119264.00,136842.00,153758.00,175141.00,202783.00,231999.00,263773.00,364048.00
MADHYA PRADESH,86745.00,86832.00,102839.00,112927.00,124276.00,144577.00,161479.00,197276.00,227984.00,263396.00,315561.00
MAHARASHTRA,273188.00,299479.00,340600.00,415480.00,486766.00,584498.00,684817.00,753969.00,855751.00,1035086.00,1280369.00
MANIPUR,3369.00,3506.00,3979.00,5133.00,5718.00,6137.00,6783.00,7399.00,8254.00,9137.00,12915.00
MEGHALAYA,4478.00,4763.00,5280.00,6559.00,7265.00,8625.00,9735.00,11617.00,12709.00,14583.00,19918.00
MIZORAM,1947.00,2166.00,2325.00,2682.00,2971.00,3290.00,3816.00,4577.00,5260.00,6388.00,7259.00
NAGALAND,3972.00,4467.00,4812.00,5839.00,6588.00,7257.00,8075.00,9436.00,10527.00,11759.00,12176.00
ODISHA,46756.00,49713.00,61008.00,77729.00,85096.00,101839.00,129274.00,148491.00,162946.00,197530.00,230987.00
PUNJAB,79611.00,82249.00,90089.00,96839.00,108637.00,127123.00,152245.00,174039.00,197500.00,226204.00,266628.00
RAJASTHAN,91771.00,88550.00,111606.00,127746.00,142236.00,171043.00,194822.00,230949.00,265825.00,338348.00,436465.00
SIKKIM,1136.00,1276.00,1430.00,1739.00,1993.00,2161.00,2506.00,3229.00,6133.00,7412.00,11165.00
TAMIL NADU,148861.00,158155.00,175371.00,219003.00,257833.00,310526.00,350819.00,401336.00,479733.00,584896.00,751485.00
TRIPURA,6370.00,6733.00,7551.00,8904.00,9826.00,10914.00,11797.00,13573.00,15403.00,17868.00,359434.00
UTTAR PRADESH,190269.00,206855.00,226972.00,260841.00,293172.00,336317.00,383026.00,444685.00,523394.00,600164.00,19208.00
UTTARAKHAND,15144.00,18473.00,20439.00,24786.00,29968.00,36795.00,45856.00,56025.00,70730.00,83969.00,724049.00
WEST BENGAL,157144.00,168000.00,189259.00,208656.00,230245.00,261682.00,299483.00,341942.00,398880.00,460959.00,115523.00
A&N ISLANDS,1082.00,1228.00,1392.00,1813.00,2044.00,2538.00,2990.00,3480.00,4120.00,4345.00,520485.00
CHANDIGARH,5490.00,6453.00,7419.00,8504.00,10185.00,12276.00,13669.00,15334.00,17717.00,20017.00,3979.00
DELHI,65027.00,71361.00,79468.00,100325.00,115374.00,135584.00,157947.00,189553.00,219753.00,252753.00,18768.00
PUDUCHERRY,4259.00,4931.00,5438.00,5754.00,7977.00,8335.00,9251.00,10050.00,12304.00,13092.00,343767.00
Delhi UT,65027.00,71361.00,79468.00,100325.00,115374.00,135584.00,157947.00,189553.00,219753.00,252753.00,18768.00
